date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-11-14;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;56198fe6-fb39-4163-8918-ba8e990e5cf8;5499
2025-11-14;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-27.600000;694400ee-032d-4c87-a595-7a9538d7d4f7;5541
2025-11-15;CASH;CARD_TRANSACTION;AMAZON PAYMENTS 2441535;ACHATS;DIVERS;-42.540000;aad57480-d105-4bcd-b0ba-7ed7b2a0b8d4;5965
2025-11-15;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-2.990000;6f1f04fd-9b69-466f-bc06-9da9a1b3e23b;5818
2025-11-16;CASH;CARD_TRANSACTION;SumUp  *SBCONCEPT;ACHATS;SOIN DE LA PERSONNE;-35.000000;88ee9ad0-ec79-442f-8b0d-f3b685c2821c;7230
2025-11-18;CASH;CARD_TRANSACTION;LE VALENCY;ACHATS;TABAC;-11.200000;551ef330-ada1-44fa-a8e1-7ef3e7d1be6b;5813
2025-11-18;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-16.400000;241cb0c5-c216-4cb1-a2ba-e58a8fdd522a;763
2025-11-19;CASH;CARD_TRANSACTION;AMAZON PRIME FR 2469664;CHARGES_FIXES;ABONNEMENTS_FIXES;-6.990000;855526b6-f19c-46e0-b1c7-0b60a211087c;5965
2025-11-19;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-8.000000;f1f642b3-5392-4fec-84bc-604e25f97c20;5813
2025-11-19;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-4.500000;5133a086-2c9c-40a6-a168-8b7e39c6613c;5813
2025-11-19;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-8.000000;e9e28271-0585-4096-9ff6-9cd2db2c027a;5813
